Percentage served,Time in ms
0,55.903
1,267.927
2,503.669
3,717.359
4,1102.522
5,1189.576
6,1196.468
7,1211.478
8,1220.351
9,1224.567
10,1229.281
11,1232.171
12,1236.671
13,1238.940
14,1241.528
15,1245.534
16,1248.699
17,1250.912
18,1253.797
19,1257.725
20,1259.557
21,1261.562
22,1263.447
23,1264.825
24,1267.269
25,1271.539
26,1274.846
27,1279.300
28,1284.190
29,1287.902
30,1293.432
31,1298.571
32,1303.170
33,1308.549
34,1315.588
35,1321.504
36,1326.414
37,1331.060
38,1337.067
39,1343.462
40,1348.606
41,1357.542
42,1363.009
43,1380.670
44,1392.895
45,1410.979
46,1436.689
47,1479.679
48,1514.873
49,1593.647
50,1881.602
51,2188.381
52,2201.166
53,2225.141
54,2248.997
55,2436.428
56,2498.288
57,2542.954
58,2564.091
59,2577.270
60,2620.131
61,2967.330
62,3077.859
63,3102.150
64,3125.704
65,3183.984
66,3262.202
67,3377.378
68,3599.802
69,3623.867
70,3640.857
71,3661.532
72,3786.375
73,3953.281
74,4011.410
75,4029.210
76,4131.075
77,4506.224
78,4679.522
79,4708.712
80,4825.415
81,4871.234
82,5082.700
83,5161.531
84,5304.814
85,5695.935
86,6168.928
87,6314.931
88,6480.696
89,6526.923
90,6648.348
91,7059.675
92,7138.381
93,7235.539
94,7344.245
95,8440.520
96,9025.374
97,9175.442
98,9893.914
99,10735.213
100,13318.593
